target_language,optimization_type,strategy,best_languages,best_clusters,score,num_languages,language_selection_by_cluster
bn,simple,diversity,"['ori', 'asm', 'sin', 'tgk', 'amh', 'urd', 'fas', 'mlt', 'pan', 'heb', 'mar', 'guj', 'ara', 'hin', 'nep']","[1, 10]",0.3474119693844275,15,
bn,simple,gp_learning,"['liv', 'ita', 'ast', 'myv', 'fra', 'srd', 'por', 'spa', 'kpv', 'smj', 'cos', 'arg', 'mwl', 'sme', 'ext', 'vec', 'lij', 'nap', 'scn', 'izh', 'cat', 'hun', 'sms', 'sma', 'krl', 'lmo', 'fin', 'glg', 'smn', 'udm', 'lad', 'mdf', 'pms', 'ron', 'est', 'vep']","[4, 14]",5.240804573271273,36,
bn,simple,winner,"['liv', 'ita', 'ast', 'myv', 'fra', 'srd', 'por', 'spa', 'kpv', 'smj', 'cos', 'arg', 'mwl', 'sme', 'ext', 'vec', 'lij', 'nap', 'scn', 'izh', 'cat', 'hun', 'sms', 'sma', 'krl', 'lmo', 'fin', 'glg', 'smn', 'udm', 'lad', 'mdf', 'pms', 'ron', 'est', 'vep']","[4, 14]",5.240804573271273,36,
bn,hierarchical,max_distance,"['fin', 'hun', 'tur', 'uig']","[4, 8]",1.0,4,"{'4': ['fin', 'hun'], '8': ['tur', 'uig']}"
bn,hierarchical,min_distance,"['asm', 'ori']",[1],0.5766,2,"{'1': ['asm', 'ori']}"
bn,hierarchical,diversity,"['hin', 'fas', 'zho', 'mya']","[1, 2]",0.18713426582001064,4,"{'1': ['hin', 'fas'], '2': ['zho', 'mya']}"
bn,hierarchical,gp_learning,"['hin', 'fas', 'zho', 'mya']","[1, 2]",0.3888930886066702,4,"{'1': ['hin', 'fas'], '2': ['zho', 'mya']}"
bn,hierarchical,winner,"['fin', 'hun', 'tur', 'uig']","[4, 8]",1.0,4,"{'4': ['fin', 'hun'], '8': ['tur', 'uig']}"
ja,hierarchical,max_distance,"['fin', 'hun', 'spa', 'fra']","[4, 14]",1.0,4,"{'4': ['fin', 'hun'], '14': ['spa', 'fra']}"
ja,hierarchical,min_distance,"['fin', 'hun', 'spa', 'fra']","[4, 14]",0.0,4,"{'4': ['fin', 'hun'], '14': ['spa', 'fra']}"
ja,hierarchical,diversity,"['fin', 'hun', 'spa', 'fra']","[4, 14]",0.0,4,"{'4': ['fin', 'hun'], '14': ['spa', 'fra']}"
ja,hierarchical,gp_learning,"['fin', 'hun', 'spa', 'fra']","[4, 14]",0.36,4,"{'4': ['fin', 'hun'], '14': ['spa', 'fra']}"
ja,hierarchical,winner,"['fin', 'hun', 'spa', 'fra']","[4, 14]",1.0,4,"{'4': ['fin', 'hun'], '14': ['spa', 'fra']}"
nl,hierarchical,max_distance,"['fin', 'hun', 'tur', 'uig']","[4, 8]",1.0,4,"{'4': ['fin', 'hun'], '8': ['tur', 'uig']}"
nl,hierarchical,min_distance,"['afr', 'deu']",[3],0.511,2,"{'3': ['afr', 'deu']}"
nl,hierarchical,diversity,"['eng', 'deu', 'ara', 'heb']","[3, 10]",0.3123659702970261,4,"{'3': ['eng', 'deu'], '10': ['ara', 'heb']}"
nl,hierarchical,gp_learning,"['eng', 'deu', 'tur', 'uig']","[3, 8]",0.4097619900990087,4,"{'3': ['eng', 'deu'], '8': ['tur', 'uig']}"
nl,hierarchical,winner,"['fin', 'hun', 'tur', 'uig']","[4, 8]",1.0,4,"{'4': ['fin', 'hun'], '8': ['tur', 'uig']}"
ta,hierarchical,max_distance,"['fin', 'hun', 'spa', 'fra']","[4, 14]",1.0,4,"{'4': ['fin', 'hun'], '14': ['spa', 'fra']}"
ta,hierarchical,min_distance,"['mal', 'kan']",[9],0.5151,2,"{'9': ['mal', 'kan']}"
ta,hierarchical,diversity,"['kan', 'mal', 'ara', 'heb']","[9, 10]",0.46100650152903244,4,"{'9': ['kan', 'mal'], '10': ['ara', 'heb']}"
ta,hierarchical,gp_learning,"['rus', 'pol', 'kan', 'mal']","[0, 9]",0.43839550050967746,4,"{'0': ['rus', 'pol'], '9': ['kan', 'mal']}"
ta,hierarchical,winner,"['fin', 'hun', 'spa', 'fra']","[4, 14]",1.0,4,"{'4': ['fin', 'hun'], '14': ['spa', 'fra']}"
pl,hierarchical,max_distance,"['fin', 'hun', 'tur', 'uig']","[4, 8]",1.0,4,"{'4': ['fin', 'hun'], '8': ['tur', 'uig']}"
pl,hierarchical,min_distance,"['slk', 'ces']",[0],0.55575,2,"{'0': ['slk', 'ces']}"
pl,hierarchical,diversity,"['rus', 'ces', 'zho', 'mya']","[0, 2]",0.35730190186595523,4,"{'0': ['rus', 'ces'], '2': ['zho', 'mya']}"
pl,hierarchical,gp_learning,"['rus', 'ces', 'vie', 'khm']","[0, 6]",0.41226230062198505,4,"{'0': ['rus', 'ces'], '6': ['vie', 'khm']}"
pl,hierarchical,winner,"['fin', 'hun', 'tur', 'uig']","[4, 8]",1.0,4,"{'4': ['fin', 'hun'], '8': ['tur', 'uig']}"
ru,hierarchical,max_distance,"['fin', 'hun', 'tur', 'uig']","[4, 8]",1.0,4,"{'4': ['fin', 'hun'], '8': ['tur', 'uig']}"
ru,hierarchical,min_distance,"['bel', 'ukr']",[0],0.8524,2,"{'0': ['bel', 'ukr']}"
ru,hierarchical,diversity,"['pol', 'ces', 'vie', 'khm']","[0, 6]",0.32079188233417,4,"{'0': ['pol', 'ces'], '6': ['vie', 'khm']}"
ru,hierarchical,gp_learning,"['pol', 'ces', 'zho', 'mya']","[0, 2]",0.40694229411139,4,"{'0': ['pol', 'ces'], '2': ['zho', 'mya']}"
ru,hierarchical,winner,"['fin', 'hun', 'tur', 'uig']","[4, 8]",1.0,4,"{'4': ['fin', 'hun'], '8': ['tur', 'uig']}"
uk,hierarchical,max_distance,"['fin', 'hun', 'tur', 'uig']","[4, 8]",1.0,4,"{'4': ['fin', 'hun'], '8': ['tur', 'uig']}"
uk,hierarchical,min_distance,"['rus', 'bel']",[0],0.7048,2,"{'0': ['rus', 'bel']}"
